2024-04-01 12:01:30.8339 | DEBUG | Microsoft.Extensions.Hosting.Internal.Host | Hosting starting 
2024-04-01 12:01:31.4455 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider 
2024-04-01 12:01:32.1250 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: FCBE0DFD0A16744F1D0462A90AD4E142C4EEDB5B) 
2024-04-01 12:01:32.2259 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly NlogDemo 
2024-04-01 12:01:32.2259 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh 
2024-04-01 12:01:32.2259 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net 
2024-04-01 12:01:32.2259 | DEBUG | Microsoft.Extensions.Hosting.Internal.Host | Hosting started 
2024-04-01 12:01:32.2654 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2I2LFH6BA0" received FIN. 
2024-04-01 12:01:32.2809 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA0" accepted. 
2024-04-01 12:01:32.2848 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA0" started. 
2024-04-01 12:01:32.3362 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware | Failed to authenticate HTTPS connection. System.IO.IOException:  Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveBlobAsync[TIOAdapter](TIOAdapter adapter)
   at System.Net.Security.SslStream.ForceAuthenticationAsync[TIOAdapter](TIOAdapter adapter, Boolean receiveFirst, Byte[] reAuthenticationData, Boolean isApm)
   at Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware.OnConnectionAsync(ConnectionContext context)
2024-04-01 12:01:32.3501 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA0" stopped. 
2024-04-01 12:01:32.3501 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets | Connection id "0HN2I2LFH6BA0" sending FIN because: "The Socket transport's send loop completed gracefully." 
2024-04-01 12:01:34.1861 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA1" accepted. 
2024-04-01 12:01:34.1861 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN2I2LFH6BA1" started. 
